Time,Amplitude,Feature
0.0,-0.0002153642595462651,-1
0.004,-0.00021225861052999142,-1
0.008,-0.00019078239158433998,-1
0.012,-0.00017537905629343872,-1
0.016,-0.00017856699844176184,-1
0.02,-0.0001792455134686802,-1
0.024,-0.0001578666397194821,-1
0.028,-0.00013022654042727882,-1
0.032,-0.00011951868325278679,-1
0.036,-0.0001276913439862819,-1
0.04,-0.00013362469100232407,-1
0.044,-0.00013197786673133454,-1
0.048,-0.00011816246762858688,-1
0.052,-0.00008916810210122278,-1
0.056,-0.00007255320765961007,-1
0.06,-0.00005411042649605903,-1
0.064,-0.00004172677660351952,-1
0.068,-0.000032827288650296064,-1
0.072,-3.1625421521935155e-6,-1
0.076,0.00002986167957020959,-1
0.08,0.00006671359167592619,-1
0.084,0.00010822603852449759,-1
0.088,0.00016446633731884288,-1
0.092,0.00025361616393475126,-1
0.096,0.00034614111802682936,-1
0.1,0.00038220590670590967,-1
0.104,0.00038601369072553487,-1
0.108,0.00038447460399512973,-1
0.112,0.00036398609877449575,-1
0.116,0.00037146876722565954,-1
0.12,0.0004267240044748229,-1
0.124,0.000521722233198577,-1
0.128,0.000643298086073964,-1
0.132,0.0007187205765752575,-1
0.136,0.0006917774624065344,-1
0.14,0.0005416758826560432,-1
0.144,0.00028797467417472243,-1
0.148,-0.00003091178146792923,-1
0.152,-0.00033694948058845143,-1
0.156,-0.0005225344553778842,-1
0.16,-0.000579162689090173,-1
0.164,-0.0005256124742410226,-1
0.168,-0.0004168056816553656,-1
0.172,-0.00035687722444373326,-1
0.176,-0.00040713930418075035,-1
0.18,-0.0005692351165698066,-1
0.184,-0.0007688171012376254,-1
0.188,-0.0009070751437837661,-1
0.192,-0.0009031070946849136,-1
0.196,-0.0007259312886503158,-1
0.2,-0.0003797645174488009,-1
0.204,0.00011894147413207283,-1
0.208,0.0006641332069120703,-1
0.212,0.0011225456155963948,-1
0.216,0.0014340172121651742,-1
0.22,0.0015725542654308224,-1
0.224,0.0014734301115142045,-1
0.228,0.0011239849385861575,-1
0.232,0.0006216124379320942,-1
0.236,0.00008571687247948829,-1
0.24,-0.0003047847437184399,-1
0.244,-0.00039187098017745683,1
0.248,-0.00021288829496941283,-1
0.252,-0.0001820706731492797,2
0.256,-0.0008428018038529754,-1
0.26,-0.0020379993216610294,-1
0.264,-0.0030343406743625675,-1
0.268,-0.0031704568459952963,3
0.272,-0.001967198632618418,-1
0.276,0.00039243931728248415,-1
0.28,0.00327684021990899,-1
0.284,0.0055800825751224446,4
0.288,0.004056934469462712,-1
0.292,-0.003849280861700964,-1
0.296,-0.013809176766799576,-1
0.3,-0.018238774573544333,0
0.304,-0.013766857762555028,-1
0.308,-0.002480345195316585,-1
0.312,0.009082459249784828,-1
0.316,0.014748596190781123,5
0.32,0.012810373349718133,-1
0.324,0.005262453024917467,-1
0.328,-0.0036023966066924657,-1
0.332,-0.009122452445802856,-1
0.336,-0.009288007779039225,6
0.34,-0.005543834830703036,-1
0.344,-0.0008597525696741613,-1
0.348,0.0023875841478990653,-1
0.352,0.003618193569045757,7
0.356,0.003398282980306972,-1
0.36,0.002388659480644453,-1
0.364,0.0012460022642061873,-1
0.368,0.0004796420526972927,-1
0.372,0.00016489720717639017,-1
0.376,0.0001168158626902907,8
0.38,0.00019076272289958034,-1
0.384,0.0003986698695529811,-1
0.388,0.000831187122758963,-1
0.392,0.0014248142744172866,-1
0.396,0.0019603332534720197,-1
0.4,0.002280621008839495,-1
0.404,0.00237080423154255,9
0.408,0.0023184762240988973,-1
0.412,0.002238238934283973,-1
0.416,0.0022364620258890594,10
0.42,0.002347327374979683,-1
0.424,0.002543213513091453,-1
0.428,0.0027706284868580975,-1
0.432,0.002911679802789841,11
0.436,0.0028771366642700107,-1
0.44,0.0026583788064977413,-1
0.444,0.002281834289884512,-1
0.448,0.0018017415208622682,-1
0.452,0.0012699991381101207,-1
0.456,0.0007310195908287814,-1
0.46,0.00022777147553946318,-1
0.464,-0.00021924111437558847,-1
0.468,-0.0006225229794731865,-1
0.472,-0.000981586600107193,-1
0.476,-0.001289519507339663,-1
0.48,-0.0015717141896969997,-1
0.484,-0.0018299576658938204,-1
0.488,-0.0020412678940341248,-1
0.492,-0.002185530780275632,-1
0.496,-0.002254385168498152,-1
0.5,-0.002267829126124271,12
0.504,-0.0022286494985190117,-1
0.508,-0.0021530190743487727,-1
0.512,-0.0021131556329178026,-1
0.516,-0.0021076848357803614,-1
0.52,-0.0020685122657863727,-1
0.524,-0.001981704969447245,-1
0.528,-0.0018580424614032518,-1
0.532,-0.0016930117563987036,-1
0.536,-0.001504870756430213,-1
0.54,-0.0013109866025552872,-1
0.544,-0.001120843682079849,-1
0.548,-0.0009719999082520046,-1
0.552,-0.0008532254113620418,-1
0.556,-0.0007341784943219942,-1
0.56,-0.0006324884962903982,-1
0.564,-0.0005317715843111064,-1
0.568,-0.00039274578376700053,-1
0.572,-0.0002000496358515097,-1
0.576,0.0000319031703041124,-1
0.58,0.0002838330848501998,-1
0.584,0.0005498889008552947,-1
0.588,0.0007970451192655395,-1
0.592,0.0010124757146050885,-1
0.596,0.0012010160896478272,-1
